"Date","Price","Open","High","Low","Vol.","Change %"
"03/11/2025","66.85","67.75","67.90","66.21","0.60K","-1.07%"
"03/12/2025","68.21","66.92","68.32","65.91","2.28K","2.03%"
"03/13/2025","69.17","68.24","70.14","67.41","0.83K","1.41%"
"03/14/2025","69.56","69.16","70.28","68.98","0.58K","0.56%"
"03/17/2025","68.69","69.23","69.23","68.16","0.27K","-1.25%"
"03/18/2025","69.88","69.16","70.05","68.48","2.19K","1.73%"
"03/19/2025","71.96","70.59","72.39","70.51","6.67K","2.98%"
"03/20/2025","71.54","72.20","72.43","71.40","2.83K","-0.58%"
"03/21/2025","70.01","72.49","72.49","70.00","3.76K","-2.14%"
"03/24/2025","70.58","70.55","70.72","70.48","1.54K","0.81%"
"03/25/2025","69.53","69.71","69.71","69.30","0.37K","-1.49%"
"03/26/2025","69.91","69.09","69.92","69.09","0.89K","0.55%"
"03/27/2025","67.66","67.78","67.82","67.21","2.06K","-3.22%"
"03/28/2025","67.91","67.90","67.95","67.86","2.04K","0.37%"
"03/31/2025","67.13","67.10","67.12","66.40","0.04K","-1.15%"
"04/01/2025","68.98","68.47","69.01","68.47","0.13K","2.76%"
"04/02/2025","67.69","68.77","68.77","67.56","0.05K","-1.87%"
"04/03/2025","65.25","66.35","66.35","65.10","0.85K","-3.60%"
"04/04/2025","63.08","64.84","64.84","62.03","0.64K","-3.33%"
"04/07/2025","62.12","60.50","63.79","59.70","0.15K","-1.52%"
"04/08/2025","61.30","60.98","62.21","60.16","0.13K","-1.32%"
"04/09/2025","60.23","60.14","60.32","59.85","0.01K","-1.75%"
"04/10/2025","61.38","62.43","62.43","60.98","1.08K","1.91%"
"04/11/2025","64.08","61.94","62.03","61.16","0.12K","4.40%"
"04/14/2025","65.74","65.67","65.90","65.67","0.96K","2.59%"
"04/15/2025","65.42","65.42","65.42","65.42","2.22K","-0.49%"
"04/16/2025","66.18","64.83","66.74","64.83","1.72K","1.16%"
"04/17/2025","65.12","65.04","65.14","64.84","2.93K","-1.60%"
"04/22/2025","63.66","64.47","64.47","63.66","1.13K","-2.24%"
"04/23/2025","66.15","65.50","65.83","65.50","1.56K","3.91%"
"04/24/2025","65.58","64.75","65.51","64.74","0.33K","-0.86%"
"04/25/2025","65.69","65.69","65.85","65.58","1.10K","0.17%"
"04/28/2025","64.58","65.00","65.22","64.39","1.59K","-1.69%"
"04/29/2025","64.11","63.78","64.17","63.78","0.12K","-0.73%"
"04/30/2025","65.82","65.14","65.70","65.14","1.10K","2.67%"
"05/01/2025","66.28","66.26","66.39","66.26","0.15K","0.70%"
"05/02/2025","68.00","67.92","68.18","67.70","0.76K","2.60%"
"05/05/2025","66.73","66.25","66.94","66.25","0.65K","-1.87%"
"05/06/2025","68.49","68.00","68.60","68.00","0.29K","2.64%"
"05/07/2025","70.27","69.70","70.45","69.70","2.55K","2.60%"
"05/08/2025","69.93","70.32","70.32","69.88","0.05K","-0.48%"
"05/09/2025","69.60","70.23","70.34","69.65","1.01K","-0.47%"
"05/12/2025","72.57","71.81","72.63","71.81","0.91K","4.27%"
"05/13/2025","72.06","72.10","72.10","72.10","0.71K","-0.70%"
"05/14/2025","71.49","71.25","71.58","70.91","1.28K","-0.79%"
"05/15/2025","72.58","72.43","72.84","72.42","1.56K","1.52%"
"05/16/2025","70.16","72.67","72.74","70.15","0.45K","-3.33%"
"05/19/2025","69.61","70.00","70.00","68.99","1.11K","-0.78%"
"05/20/2025","72.34","71.83","71.94","71.79","0.34K","3.92%"
"05/21/2025","71.90","72.30","72.37","71.54","0.13K","-0.61%"
"05/22/2025","71.31","72.58","72.58","71.14","1.76K","-0.82%"
"05/23/2025","70.76","71.40","71.48","69.25","0.21K","-0.77%"
"05/26/2025","72.23","72.10","72.56","71.46","0.01K","2.08%"
"05/27/2025","70.95","72.21","72.21","70.90","0.87K","-1.77%"
"05/28/2025","71.26","70.15","71.77","70.15","1.19K","0.44%"
"05/29/2025","70.15","72.05","72.62","69.95","2.40K","-1.56%"
"05/30/2025","69.61","69.96","70.70","69.43","2.61K","-0.77%"
"06/02/2025","70.10","70.10","71.20","69.69","1.04K","0.70%"
"06/03/2025","71.78","70.30","72.00","69.98","1.21K","2.40%"
"06/04/2025","71.80","72.06","72.70","71.51","0.90K","0.03%"
"06/05/2025","71.91","71.80","73.10","71.58","1.57K","0.15%"
"06/06/2025","72.67","72.11","72.94","72.00","1.11K","1.06%"
"06/09/2025","73.41","73.00","73.48","73.00","0.00K","1.02%"
"06/10/2025","71.86","73.28","73.28","71.55","0.97K","-2.11%"
"06/11/2025","73.53","72.53","73.78","72.49","3.76K","2.32%"
"06/12/2025","74.56","73.47","74.80","72.66","1.41K","1.40%"
"06/13/2025","75.09","75.21","75.78","75.05","0.93K","0.71%"
"06/16/2025","74.49","74.94","75.02","74.00","0.72K","-0.80%"
"06/17/2025","73.79","74.61","74.63","73.75","0.77K","-0.94%"
"06/18/2025","73.76","74.04","74.40","73.40","0.37K","-0.04%"
"06/19/2025","71.91","74.02","74.12","70.95","4.20K","-2.51%"
"06/20/2025","72.14","72.09","72.36","71.74","2.28K","0.32%"
"06/23/2025","73.27","72.85","73.50","72.43","26.60K","1.57%"
"06/24/2025","73.54","73.00","74.57","72.60","38.63K","0.37%"
"06/25/2025","71.15","73.24","73.40","70.96","31.98K","-3.25%"
"06/26/2025","70.40","71.08","71.50","70.26","35.18K","-1.05%"
"06/27/2025","70.96","70.42","71.14","70.11","24.51K","0.80%"
"06/30/2025","68.97","71.03","71.08","68.71","27.54K","-2.80%"
"07/01/2025","70.58","69.11","70.89","68.90","25.72K","2.33%"
