Date,Price,Open,High,Low,Vol.,Change %
07/04/2025,33430,33.95,33950,33275,0.08K,-0.57%
07/07/2025,33621,33.21,34045,32985,7.42K,0.57%
07/08/2025,34219,34,34590,33895,15.26K,1.78%
07/09/2025,34304,34.32,34900,34275,8.65K,0.25%
07/10/2025,35170,34.65,35350,34655,12.66K,2.52%
07/11/2025,35561,34.93,35615,34755,10.93K,1.11%
07/14/2025,35454,35.54,36320,35090,12.25K,-0.30%
07/15/2025,34445,35.1,35145,34205,19.50K,-2.85%
07/16/2025,34809,34.65,35115,34450,14.48K,1.06%
07/17/2025,34407,35.14,35250,34325,6.84K,-1.15%
07/18/2025,33595,34.6,34600,33430,6.46K,-2.36%
07/21/2025,33159,33.83,33915,33125,2.22K,-1.30%
07/22/2025,33111,33.21,33405,32950,4.21K,-0.14%
07/23/2025,32690,33.5,33695,32605,4.15K,-1.27%
07/24/2025,32358,32.38,32435,32175,5.14K,-1.02%
07/25/2025,32499,32.1,32650,32100,0.41K,0.44%
07/28/2025,32899,32.29,33030,32130,0.25K,1.23%
07/29/2025,34103,34.1,34103,34103,0.08K,3.66%
07/30/2025,34537,33.65,33650,33650,0.01K,1.27%
07/31/2025,35279,34.68,35425,34645,4.92K,2.15%
08/01/2025,33972,35.15,35160,33770,2.90K,-3.70%
08/04/2025,34283,34.06,34370,33660,6.74K,0.92%
08/05/2025,34406,34.19,34440,33790,7.53K,0.36%
08/06/2025,33257,33.99,34105,33080,1.60K,-3.34%
08/07/2025,32951,32.95,33150,32845,2.79K,-0.92%
08/08/2025,32446,32.78,33410,32155,3.78K,-1.53%
08/11/2025,32999,32.49,33125,32400,2.69K,1.70%
08/12/2025,32409,33.06,33065,32215,2.08K,-1.79%
08/13/2025,32600,32.61,32800,32485,2.31K,0.59%
08/14/2025,32141,32.86,32860,31950,1.95K,-1.41%
08/15/2025,31031,31.97,31975,30795,2.52K,-3.45%
08/18/2025,31272,30.65,31485,30650,2.64K,0.78%
08/19/2025,31227,30.72,31375,30725,3.63K,-0.14%
08/20/2025,31906,31.37,32275,31225,2.63K,2.17%
08/21/2025,33175,32.24,33395,32015,1.96K,3.98%
08/22/2025,33573,33.4,33600,33065,0.41K,1.20%
08/25/2025,33774,33.27,33820,33250,0.06K,0.60%
08/26/2025,33460,33.6,33690,33300,0.26K,-0.93%
08/27/2025,32551,32.7,32815,32590,1.27K,-2.72%
08/28/2025,31559,31.27,31275,31275,0.00K,-3.05%
08/29/2025,31622,31.75,31870,31600,3.28K,0.20%
09/01/2025,32275,32.27,32285,31880,0.08K,2.07%
09/02/2025,31772,32.2,32625,31665,4.13K,-1.56%
09/03/2025,32112,31.52,32360,31420,3.59K,1.07%
09/04/2025,32412,31.84,32605,31840,6.65K,0.93%
09/05/2025,31969,32.52,32705,31910,6.17K,-1.37%
09/08/2025,33064,32.2,33120,32200,3.50K,3.43%
09/09/2025,32931,33.08,33110,32225,3.51K,-0.40%
09/10/2025,33122,33.24,33420,33005,3.91K,0.58%
09/11/2025,32323,32.51,32590,32310,3.10K,-2.41%
