Date,Close,High,Low,Open,Volume
2025-01-02T00:00:00,73.13,73.73,71.79,71.85,306498
2025-01-03T00:00:00,73.96,74.35,72.7,73.13,296040
2025-01-06T00:00:00,73.56,74.99,73.2,74.05,306042
2025-01-07T00:00:00,74.25,74.53,73.11,73.44,277328
2025-01-08T00:00:00,73.32,75.29,73.16,74.52,328617
2025-01-09T00:00:00,73.92,74.32,72.84,73.32,213421
2025-01-10T00:00:00,76.57,77.86,74.02,74.29,478432
2025-01-13T00:00:00,78.82,79.27,76.54,76.54,460942
2025-01-14T00:00:00,77.5,79.09,77.41,78.82,326729
2025-01-15T00:00:00,80.04,80.77,77.24,78.03,321422
2025-01-16T00:00:00,78.68,80.59,77.87,80.4,159948
2025-01-17T00:00:00,77.88,79.44,77.76,78.75,112409
2025-01-21T00:00:00,75.89,78.47,75.49,78.19,568807
2025-01-22T00:00:00,75.44,76.45,75.28,75.88,315333
2025-01-23T00:00:00,74.62,76,74.14,75.39,350688
2025-01-24T00:00:00,74.66,75.21,74.01,74.3,319679
2025-01-27T00:00:00,73.17,75.15,72.38,74.54,334418
2025-01-28T00:00:00,73.77,74.31,72.93,73.15,326075
2025-01-29T00:00:00,72.62,74.08,72.33,73.95,312733
2025-01-30T00:00:00,72.73,73.84,72.02,73,336475
2025-01-31T00:00:00,72.53,73.84,71.94,73.2,376335
2025-02-03T00:00:00,73.16,75.18,72.05,74.14,517853
2025-02-04T00:00:00,72.7,73.35,70.67,72.35,452961
2025-02-05T00:00:00,71.03,72.97,70.96,72.76,289902
2025-02-06T00:00:00,70.61,71.85,70.43,71.18,299037
2025-02-07T00:00:00,71,71.41,70.47,70.56,273766
2025-02-10T00:00:00,72.32,72.54,70.84,71,255941
2025-02-11T00:00:00,73.32,73.68,72.31,72.49,266819
2025-02-12T00:00:00,71.37,73.22,71.17,73.2,318123
2025-02-13T00:00:00,71.29,71.6,70.22,71.24,278197
2025-02-14T00:00:00,70.74,72.02,70.52,71.52,207719
2025-02-18T00:00:00,71.85,72.07,70.12,70.7,130937
2025-02-19T00:00:00,72.25,73.04,71.71,71.78,69012
2025-02-20T00:00:00,72.57,73.25,71.85,72.18,240060
2025-02-21T00:00:00,70.4,72.77,70.17,72.58,268470
2025-02-24T00:00:00,70.7,70.94,69.8,69.8,205468
2025-02-25T00:00:00,68.93,71.26,68.68,70.92,267310
2025-02-26T00:00:00,68.62,69.28,68.36,69.11,255601
2025-02-27T00:00:00,70.35,70.54,68.61,68.82,265933
2025-02-28T00:00:00,69.76,70.29,69.14,70.17,250074
2025-03-03T00:00:00,68.37,70.6,67.89,69.95,332751
2025-03-04T00:00:00,68.26,68.56,66.77,68.46,386750
2025-03-05T00:00:00,66.31,68.1,65.22,68.08,382493
