"Date","Price","Open","High","Low","Vol.","Change %"
"03/19/2025","65.05","65.05","65.05","65.05","","1.17%"
"03/20/2025","65.50","65.50","65.50","65.50","","0.69%"
"03/21/2025","65.05","65.05","65.05","65.05","","-0.69%"
"03/24/2025","64.55","64.55","64.55","64.55","","-0.77%"
"03/25/2025","64.25","64.25","64.25","64.25","","-0.46%"
"03/26/2025","64.30","64.30","64.30","64.30","","0.08%"
"03/27/2025","64.35","64.35","64.35","64.35","","0.08%"
"03/28/2025","64.35","64.35","64.35","64.35","","0.00%"
"03/31/2025","64.60","64.60","64.60","64.60","","0.39%"
"04/01/2025","64.90","64.90","64.90","64.90","","0.46%"
"04/02/2025","65.20","65.20","65.20","65.20","","0.46%"
"04/03/2025","65.15","65.15","65.15","65.15","","-0.08%"
"04/04/2025","64.90","64.90","64.90","64.90","","-0.38%"
"04/07/2025","64.40","64.40","64.40","64.40","","-0.77%"
"04/08/2025","64.40","64.40","64.40","64.40","","0.00%"
"04/09/2025","64.40","64.40","64.40","64.40","","0.00%"
"04/10/2025","64.40","64.40","64.40","64.40","","0.00%"
"04/11/2025","64.40","64.40","64.40","64.40","","0.00%"
"04/14/2025","64.40","64.40","64.40","64.40","","0.00%"
"04/15/2025","64.40","64.40","64.40","64.40","","0.00%"
"04/16/2025","65.05","65.05","65.05","65.05","","1.01%"
"04/17/2025","65.05","65.05","65.05","65.05","","0.00%"
"04/21/2025","65.25","65.25","65.25","65.25","","0.31%"
"04/22/2025","65.30","65.30","65.30","65.30","","0.08%"
"04/23/2025","65.65","65.65","65.65","65.65","","0.54%"
"04/24/2025","66.15","66.15","66.15","66.15","","0.76%"
"04/25/2025","66.70","66.70","66.70","66.70","","0.83%"
"04/28/2025","67.10","67.10","67.10","67.10","","0.60%"
"04/29/2025","67.50","67.50","67.50","67.50","","0.60%"
"04/30/2025","68.00","68.00","68.00","68.00","","0.74%"
"05/01/2025","68.75","68.75","68.75","68.75","","1.10%"
"05/02/2025","69.80","69.80","69.80","69.80","","1.53%"
"05/05/2025","70.20","70.20","70.20","70.20","","0.57%"
"05/06/2025","70.20","70.20","70.20","70.20","","0.00%"
"05/07/2025","70.10","70.10","70.10","70.10","","-0.14%"
"05/08/2025","69.90","69.90","69.90","69.90","","-0.29%"
"05/09/2025","70.25","70.25","70.25","70.25","","0.50%"
"05/12/2025","71.25","71.25","71.25","71.25","","1.42%"
"05/13/2025","71.60","71.60","71.60","71.60","","0.49%"
"05/14/2025","71.60","71.60","71.60","71.60","","0.00%"
"05/15/2025","71.60","71.60","71.60","71.60","","0.00%"
"05/16/2025","71.60","71.60","71.60","71.60","","0.00%"
"05/19/2025","71.30","71.30","71.30","71.30","","-0.42%"
"05/20/2025","71.25","71.25","71.25","71.25","","-0.07%"
"05/21/2025","71.05","71.05","71.05","71.05","","-0.28%"
"05/22/2025","70.50","70.50","70.50","70.50","","-0.77%"
"05/23/2025","71.55","71.55","71.55","71.55","","1.49%"
"05/27/2025","72.00","72.00","72.00","72.00","","0.63%"
"05/28/2025","71.95","71.95","71.95","71.95","","-0.07%"
"05/29/2025","71.65","71.65","71.65","71.65","","-0.42%"
"05/30/2025","71.85","71.85","71.85","71.85","","0.28%"
"06/02/2025","71.90","71.90","71.90","71.90","","0.07%"
"06/03/2025","71.90","71.90","71.90","71.90","","0.00%"
"06/04/2025","71.40","71.40","71.40","71.40","","-0.70%"
"06/05/2025","70.50","70.50","70.50","70.50","","-1.26%"
"06/06/2025","70.50","70.50","70.50","70.50","","0.00%"
"06/09/2025","70.50","70.50","70.50","70.50","","0.00%"
"06/10/2025","70.05","70.05","70.05","70.05","","-0.64%"
"06/11/2025","70.05","70.05","70.05","70.05","","0.00%"
"06/12/2025","69.75","69.75","69.75","69.75","","-0.43%"
"06/13/2025","69.75","69.75","69.75","69.75","","0.00%"
"06/16/2025","76.20","76.20","76.20","76.20","","9.25%"
"06/17/2025","74.50","74.50","74.50","74.50","","-2.23%"
"06/18/2025","74.80","74.80","74.80","74.80","","0.40%"
"06/20/2025","75.90","75.90","75.90","75.90","","1.47%"
"06/23/2025","77.55","77.55","77.55","77.55","","2.17%"
"06/24/2025","77.90","77.90","77.90","77.90","","0.45%"
"06/25/2025","78.50","78.50","78.50","78.50","","0.77%"
"06/26/2025","78.50","78.50","78.50","78.50","","0.00%"
"06/27/2025","79.05","79.05","79.05","79.05","","0.70%"
